LAX,EWR
RDU,SLC
BDL,FLL
LAS,CVG
ROW,DFW
ORD,EVV
RSW,MSP
DTW,RSW
MSP,BDL
JFK,ORD
SLC,SGU
JAX,DCA
ABQ,MCI
ALB,TPA
DAL,LIT
DEN,ABQ
HOU,STL
ISP,TPA
JAX,ORF
MCO,FLL
PVD,FLL
SAT,PHX
IAH,CRP
IAH,RSW
MAF,IAH
ATL,MEM
DAY,TPA
STL,MEM
SFO,SMF
HPN,ATL
AUS,SFO
IND,RDU
MDT,MSP
CHA,MEM
TYS,DTW
GRR,MEM
LIT,ATL
MIA,BOS
JFK,STT
PHL,SJU
ORD,MCI
SNA,PDX
DFW,SEA
PHX,SEA
BUF,BOS
PDX,LGB
IAH,SEA
IAH,MCO
CLE,MCO
ATL,EWR
ATL,LAX
TUS,ATL
ATL,IAD
ATL,RDU
ATL,CHS
GSP,ATL
ATL,BWI
ATL,DCA
FLL,BWI
DFW,CAE
DFW,PIT
DFW,BTR
DFW,CHS
PHX,MSP
MSP,SEA
IND,LGA
CVG,LGA
ATL,PNS
YUM,LAX
BWI,PHL
DCA,RSW
LAS,BOS
MCO,PHX
PHL,SAN
RIC,PHL
SFO,CLT
STL,PHX
ABQ,OAK
AMA,ABQ
BWI,BUF
BWI,TPA
JAX,TPA
MDW,CMH
MHT,FLL
OKC,HOU
ORF,MDW
PHX,OKC
RDU,LAS
SJC,ONT
TPA,MCI
IAH,AUS
CHS,CLT
FLG,PHX
YUM,PHX
MSY,SLC
ATL,JAX
ATL,HSV
AMA,DFW
DTW,TPA
IDA,DEN
ALB,ORD
MCI,CLT
GCC,DEN
DFW,MCI
DFW,IND
BOS,SJU
OAK,JFK
MIA,IAH
IAH,SAT
ATL,TPA
ATL,FLL
LGA,TPA
ATL,GNV
ATL,LEX
ATL,TLH
ATL,STL
JAX,ORD
ORD,DSM
BDL,MSP
TPA,CVG
LAX,CLD
PDX,SEA
ORD,MSN
SFO,PDX
PHX,ORD
BOS,LAS
CLT,ORD
CLT,SFO
PHL,JAX
PIT,PHX
BWI,JAN
BWI,MSY
HOU,HRL
LAS,STL
MAF,DAL
MCO,ABQ
MCO,BHM
MDW,OAK
MSY,MDW
PHL,PVD
PHX,SFO
TPA,BHM
TUL,MCI
TUS,SAN
AMA,IAH
ATL,BOS
SFO,FAT
FAI,SCC
ATL,AGS
BOI,ORD
ORF,ORD
CAE,LGA
SFO,RNO
SGF,MSP
BNA,LGA
DCA,STL
SEA,LGB
SNA,EWR
EWR,SAT
IAH,LAX
SEA,EWR
ATL,MSY
BDL,TPA
ATL,PIT
ATL,LIT
ATL,BNA
ATL,PHF
ATL,DAY
MCO,BWI
CHS,DFW
CMH,MIA
RIC,ORD
HSV,DCA
ATL,MCI
DAY,ORD
CLT,LAX
CLT,PHX
CMH,PHX
PHL,MSY
TPA,PHX
BNA,LAX
CMH,BNA
MDW,RDU
PBI,PHL
PHX,OAK
PHX,TUL
STL,SDF
STL,SLC
ATL,GSO
ATL,ORF
ATL,CAE
LAX,SBA
LAX,COS
CLT,ORF
ATL,SDF
SFO,JFK
SFO,IAD
AEX,IAH
IAH,BHM
BOS,LAX
DFW,SNA
DFW,MCO
JNU,KTN
HPN,MCO
MCO,HPN
IAH,DCA
ATL,CMH
MCO,CVG
ATL,FAY
LAX,FAT
LRD,DFW
TYS,DFW
DFW,JAN
MCO,MSP
TUS,MSP
IND,MEM
CVG,PHL
TPA,DEN
CLT,BDL
JFK,LAS
LAX,CLT
RSW,PHL
ABQ,MDW
BHM,SDF
BNA,JAX
FLL,MSY
HOU,LAX
LAS,MDW
RNO,SAN
SAT,LAS
IAH,PIT
IAH,IND
MEM,PHX
ATL,BUF
