Month,Pharma1,Pharma2,Aluminum,FMCG,Housing,Software1,Infrastructure,Automobile,Refineries,Bank,Power,Steel,Software2
Jul-07,190.7,633.55,154.44,206.35,403.3,988.63,868.83,364.57,946.15,153.27,70.84,579.25,297.39
Aug-07,167.35,640.8,143.36,208.6,395.2,927.52,860.92,354.52,979.75,150.92,65.98,609.56,289.35
Sep-07,182.4,649,156.17,219.35,505.45,948.38,937.53,375.82,1148.1,184.05,82.53,751.55,275.91
Oct-07,178.75,620.95,178.23,207.6,554.64,919.55,1414.85,377.35,1391.28,195.13,116.92,905.05,302.88
Nov-07,183.45,632.15,168.24,207.15,556.89,802.02,1376.33,365.9,1425.38,217.04,113.13,825.7,276.18
Dec-07,212.6,735.35,195.07,213.9,574.49,884.2,1390.62,430.4,1440.53,223.71,141.95,934.8,315.36
Jan-08,188.45,528.2,150.49,206.5,568.7,751.95,1226.78,334.68,1239.75,216.23,123.52,733.5,248.01
Feb-08,207.25,582.65,184.27,227.35,560.54,773.42,1174.35,346.4,1229.13,210.97,135.21,801.55,260.79
Mar-08,219.75,590.95,149.58,228.7,476.75,715.08,1008.27,347.82,1132.25,159.88,113.09,693.15,255.18
Apr-08,213.05,622.45,175.78,249.5,560.96,876.88,1001.12,335.2,1307.43,177.63,134.36,817.6,293.16
May-08,212.05,714.6,174.28,237.15,513.83,978.77,993.78,296.25,1200.83,144.34,130.92,902.9,304.8
Jun-08,211.1,670.55,129.02,206.1,392.48,867.38,727.73,242.53,1046.63,111.15,101.64,728.35,262.77
Jul-08,218.7,569.2,128.11,239.7,455.34,791.65,867.57,260.27,1103.1,141.47,111.95,654.95,249.6
Aug-08,240.2,579.25,122.5,245.4,468.73,874.25,863.28,289.02,1068.38,140.36,101.42,600.35,259.38
Sep-08,228.55,508.95,97.7,251.55,428.23,698.77,814.28,254.63,973.17,146.57,87.44,425.6,203.79
Oct-08,177.45,428.25,60.2,221.95,352.91,690.83,536.97,186.18,685.38,110.95,66.55,210.1,163.29
Nov-08,200.55,428.15,53.05,236.2,292.78,620.3,484.63,140.82,565.8,108.69,64.57,150.95,145.98
Dec-08,186.9,469.75,51.65,250.25,297.51,558.92,516.27,137.43,615.13,128.83,72.22,216.85,140.13
Jan-09,192,451.15,49.05,261.2,307.35,652.75,459.47,150.3,662.6,115.22,73.48,184.65,138.66
Feb-09,191.1,391.3,38.6,253.8,253.84,615.65,407.63,154.95,632.52,102.71,70.1,172.35,124.41
Mar-09,219.75,488.65,51.9,238.2,282.24,662.05,448.43,191.6,761.6,106.66,73.85,206,147.24
Apr-09,240.7,544.35,53.85,234.55,346.3,753.65,586.37,243.13,901.35,127.77,86.27,238.05,198.3
May-09,222.95,644.85,84.7,231.1,437.17,801,937.07,337.5,1138.75,186.91,103.29,406.3,228.93
Jun-09,253.3,777.85,86.45,267.1,469.08,888.45,1045.53,346.25,1011.68,174.21,110.95,390.8,226.59
Jul-09,275.7,817.55,100.2,291.2,506.19,1031.95,1004.4,428.4,978.55,181.4,125.65,462.7,294.39
