Date,Pharma,FMCG,Power,Steel
30-Oct-96,56,79.2,12.04,110.03
31-Oct-96,56.5,78.93,11.87,106.79
1-Nov-96,56.63,79.05,11.65,104.14
4-Nov-96,56,78.38,11.36,101.2
5-Nov-96,56.06,78.33,11.1,97.51
6-Nov-96,55.25,77.73,11,97.66
7-Nov-96,56.25,78.13,11.15,97.81
13-Nov-96,55.94,79.43,11.41,99.28
14-Nov-96,55.94,80.5,11.24,98.25
15-Nov-96,55.63,80.3,11.48,98.54
18-Nov-96,55.56,81.03,11.65,100.9
19-Nov-96,55.5,81.55,11.48,98.84
20-Nov-96,54.88,81,11.05,94.27
21-Nov-96,53.94,81.3,10.98,93.09
22-Nov-96,53.56,80,10.47,91.33
25-Nov-96,52,79.53,10.86,94.27
26-Nov-96,49.69,79.2,10.52,91.62
27-Nov-96,47.81,77.78,10.52,90.44
28-Nov-96,46.75,78.6,10.33,90.74
29-Nov-96,46.88,79.98,10.33,90.3
2-Dec-96,42.25,79.35,10.06,90
3-Dec-96,38.13,78.03,9.94,88.09
4-Dec-96,37.31,75.85,9.79,86.76
5-Dec-96,38.75,77.08,9.87,89.56
6-Dec-96,40,79,9.99,90
9-Dec-96,39.88,78.5,9.94,89.41
10-Dec-96,39.38,77.38,9.89,88.38
11-Dec-96,41.38,80.45,10.69,94.57
12-Dec-96,41.25,79.03,10.57,90.59
13-Dec-96,42.19,77.53,10.57,90.44
16-Dec-96,41.44,78.4,11.07,93.54
17-Dec-96,40.81,79.68,11.12,93.83
18-Dec-96,41.44,79.63,11.07,93.68
19-Dec-96,40.81,80.65,11.19,94.86
20-Dec-96,41,81.85,11.68,97.66
23-Dec-96,40.5,81.2,11.82,96.19
24-Dec-96,41,80.78,11.87,96.48
1-Jan-97,42.56,81.7,12.74,107.38
2-Jan-97,42.94,80.93,12.38,105.76
3-Jan-97,42.44,80.95,12.4,106.79
6-Jan-97,42,80.55,12.57,106.94
7-Jan-97,41.44,81.68,12.47,111.8
8-Jan-97,44.88,83.83,12.52,109.74
9-Jan-97,43.81,87.28,12.64,111.36
10-Jan-97,47.31,89.25,12.79,109.15
13-Jan-97,48.81,88.28,12.98,111.36
14-Jan-97,49.38,87.5,13.65,114.45
15-Jan-97,50.44,88.75,14.28,121.08
16-Jan-97,47.31,86.88,13.32,111.36
17-Jan-97,45.88,87.4,13.03,111.95
20-Jan-97,45.56,86.68,12.86,110.62
21-Jan-97,44.81,87.18,12.93,109.74
22-Jan-97,44.69,87.6,13.03,112.1
24-Jan-97,43.75,88.2,12.86,111.51
27-Jan-97,45.13,88.48,13.41,122.55
28-Jan-97,45.44,88.2,14.33,124.32
29-Jan-97,44.75,88.33,13.61,117.25
30-Jan-97,44,89.35,13.75,116.07
31-Jan-97,42.38,88.7,12.69,107.09
3-Feb-97,41.75,88.23,12.59,105.17
4-Feb-97,42.13,89.4,12.74,109.3
5-Feb-97,42.25,87.8,12.83,106.94
6-Feb-97,42.25,89.35,13.05,110.48
7-Feb-97,42.19,88.85,13.12,109.74
10-Feb-97,42.63,89.28,13.41,115.19
11-Feb-97,42.56,90.88,13.61,117.1
12-Feb-97,42.69,91.03,13.41,114.6
13-Feb-97,43.19,90.23,13.24,113.86
14-Feb-97,44.75,90.48,13.03,115.19
17-Feb-97,46.56,90.93,13.53,117.69
18-Feb-97,45.63,89.88,13.29,115.78
19-Feb-97,46.44,90.33,13.12,114.16
20-Feb-97,45.75,88.5,13.05,112.39
21-Feb-97,44.75,85.63,12.71,110.33
24-Feb-97,43.63,85,12.18,107.24
25-Feb-97,42.88,86.78,12.18,107.09
26-Feb-97,43.31,86.3,12.64,107.68
27-Feb-97,44.06,90,13.56,111.65
28-Feb-97,45.06,94.18,14.26,117.4
1-Mar-97,48.94,99.9,14.35,122.26
3-Mar-97,51.25,102.2,13.99,122.26
4-Mar-97,55,103,14.04,124.32
5-Mar-97,55,104.58,13.94,122.85
6-Mar-97,55.06,102.5,13.61,120.2
10-Mar-97,54.44,99.3,13.05,116.96
11-Mar-97,53.5,100.05,13.08,112.83
12-Mar-97,55.13,100.7,13.41,113.13
13-Mar-97,56,100.88,13.17,111.51
14-Mar-97,56.19,99.23,13.15,110.92
17-Mar-97,56.56,99.93,13.37,112.24
18-Mar-97,55.69,99,14.14,111.21
19-Mar-97,53.38,98.15,13.7,107.24
20-Mar-97,52.75,100.85,13.8,108.71
21-Mar-97,52.06,100.8,13.8,108.27
25-Mar-97,52.31,100.85,13.8,108.71
26-Mar-97,51.81,99.93,13.49,107.97
27-Mar-97,52.31,99.6,13.44,108.41
28-Mar-97,50.88,99.8,13.1,104.73
